FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,,0,nan,nan
2,,0,nan,nan
3,,0,nan,nan
4,,0,nan,nan
5,,0,nan,nan
6,,0,nan,nan
7,,0,nan,nan
8,,0,nan,nan
9,1365 -> 1364,0,20000,0
10,1365 -> 1364,0,20000,0
11,1365 -> 1364,0,20000,0
12,1365 -> 1364,0,20000,0
13,1365 -> 1364,0,20000,0
14,1365 -> 1364,0,20000,0
15,1365 -> 1364,0,20000,0
16,1365 -> 1364,0,20000,0
17,1365 -> 1364,0,20000,0
18,1365 -> 1364,0,20000,0
19,1365 -> 1364,0,20000,0
20,1365 -> 1364,0,20000,0
21,1365 -> 1364,0,20000,0
22,1365 -> 1364,0,20000,0
23,1365 -> 1364,0,20000,0
24,1365 -> 1364,0,20000,0
25,1365 -> 1364,0,20000,0
26,1365 -> 1364,0,20000,0
27,1365 -> 1364,0,20000,0
28,1365 -> 1364,0,20000,0
29,1365 -> 1364,0,20000,0
30,1365 -> 1364,0,20000,0
